affection.n 8 :: nouveau ; bel ; grand ; petit ; merveilleux ; heureux ; ancien ; extraordinaire ; véritable ; universel
arrêter.v 50 :: abandonner ; quitter ; apprendre ; inventer ; faire ; supprimer ; retenir ; éteindre ; prendre ; voir
arrêter.v 181 :: dresse ; établir ; préparer ; choisir ; présente ; vérifier ; approuver ; complet ; élaborer ; donne
arrêter.v 219 :: tuer ; acheter ; développer ; aider ; faire ; bloquer ; fixer ; former ; dessiner ; atteindre
arrêter.v 273 :: capturer ; condamner ; adopter ; interdire ; suspendre ; emprisonner ; battre ; punir ; enlever ; bannir
arrêter.v 277 :: or ; parer ; but ; point ; an ; pouvoir ; canada ; os ; in ; également
arrêter.v 291 :: établir ; fixer ; adopter ; publier ; élaborer ; acquérir ; décider ; prendre ; émettre ; donner
capacité.n 26 :: faculté ; puissance ; force ; disponibilité ; rapidité ; souplesse ; absence ; possibilité ; dimension ; solidarité
capacité.n 32 :: chaîne ; puissance ; force ; quantité ; réserve ; activité ; machine ; tête ; société ; base
capacité.n 35 :: formation ; membre ; spécialiste ; compte ; activité ; université ; représentant ; faculté ; employé ; équipe
capacité.n 70 :: puissance ; fréquentation ; surface ; production ; construction ; place ; consommation ; performance ; location ; jauge
capacité.n 73 :: faculté ; compétence ; aptitude ; détermination ; force ; possibilité ; flexibilité ; liberté ; souplesse ; dimension
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; faculté ; pouvoir ; liberté ; propre ; vie ; vertu
capacité.n 103 :: stock ; réserve ; ressource ; infrastructure ; puissance ; unité ; gamme ; marge ; volume ; structure
capacité.n 110 :: réserve ; batterie ; puissance ; participation ; offrir ; solution ; possibilité ; faculté ; somme ; option
capacité.n 135 :: faculté ; puissance ; force ; base ; volonté ; possibilité ; vitesse ; faciliter ; rapidité ; marge
capacité.n 148 :: maîtrise ; formation ; faculté ; compétence ; licence ; spécialisation ; pratique ; connaissance ; recherche ; aptitude
commander.v 5 :: écrire ; vouloir ; accomplir ; réaliser ; signer ; dicter ; tenir ; effectuer ; adresser ; achever
commander.v 9 :: commander ; facilement ; rapidement ; vous ; commencer ; immédiatement ; vite ; ensuite ; créer ; aisément
commander.v 16 :: soutenir ; commanda ; diriger ; ordonner ; recevoir ; consigne ; coordonner ; conserve ; mener ; commandant
commander.v 41 :: choisir ; commencer ; gratuitement ; demander ; obtenir ; commande ; remplir ; sélectionner ; entrer ; venir
commander.v 48 :: gouverner ; diriger ; déterminer ; contrôlent ; créer ; régir ; mener ; gérer ; financer ; guider
commander.v 117 :: commande ; commandant ; commandement ; réellement ; valoir ; raisonnablement ; maman ; dorénavant ; naguère ; justifier
commander.v 164 :: donne ; ment ; dicter ; ordonner ; enseigne ; vie ; écrire ; militaire ; ferme ; dame
commander.v 171 :: acheter ; commande ; aller ; réserver ; acquérir ; commencer ; faire ; venir ; imprimer ; entrer
commander.v 206 :: commande ; donne ; protéger ; servir ; droit ; passer ; donner ; permettre ; prévoir ; montre
commander.v 240 :: commande ; régler ; payer ; faire ; contrôler ; également ; ajouter ; réaliser ; uniquement ; lire
compris.a 52 :: accepter ; assimiler ; compréhensible ; reconnaître ; compréhension ; lire ; intégrer ; contenue ; retenir ; percevoir
compris.a 90 :: penser ; ajouter ; croire ; falloir ; prévoir ; estimer ; entendre ; considérer ; apprendre ; assurer
compris.a 106 :: entendre ; penser ; deviner ; vrai ; déjà ; vous ; ici ; davantage ; vivre ; vouloir
compris.a 185 :: inclure ; contenir ; entendre ; incorporer ; découvrir ; inscrire ; présent ; trouver ; mentionner ; communiquer
compris.a 186 :: rester ; entrer ; situer ; inclure ; tomber ; demeurer ; mort ; sortir ; déjà ; rentrer
compris.a 187 :: compter ; inclure ; contenu ; estimer ; croire ; moyen ; situer ; définir ; supérieur ; fixer
compris.a 211 :: varier ; mesurer ; situer ; modérer ; grouper ; plongée ; répartir ; évaluer ; maintenir ; partager
compris.a 232 :: inclure ; prendre ; contenu ; intégré ; compter ; comptabiliser ; reprendre ; prévoir ; ranger ; inclus
compris.a 272 :: saisir ; penser ; croire ; intégré ; entendre ; cacher ; aimer ; réaliser ; deviner ; savoir
compris.a 287 :: saisir ; intégré ; assimiler ; apprendre ; capter ; comprendre ; savoir ; deviner ; percevoir ; reconnaître
couverture.n 65 :: dernier ; page ; rédaction ; carte ; fiche ; nouveau ; principal ; définition ; présentation ; manchette
couverture.n 67 :: protection ; polo ; veste ; moto ; cape ; vision ; armure ; croiser ; vie ; montagne
couverture.n 72 :: couvert ; couvrir ; toiture ; traire ; sécurité ; défense ; protection ; armure ; housse ; assurance
couverture.n 143 :: manchette ; éditorial ; illustration ; page ; bref ; pochette ; sommaire ; couvrir ; tête ; face
couverture.n 149 :: régime ; répartition ; protection ; couvert ; caisse ; gestion ; sécurité ; traitement ; défense ; droit
couverture.n 150 :: toiture ; pierre ; livre ; couvrir ; rose ; police ; violette ; maison ; résumé ; couvert
couverture.n 201 :: surveillance ; protection ; sécurité ; desserte ; couvrir ; pénétration ; conquête ; gestion ; occupation ; transformation
couverture.n 257 :: toiture ; base ; finition ; construction ; remplacement ; protection ; revêtement ; sol ; transformation ; sécurité
couverture.n 265 :: couvrir ; serviette ; voil ; véranda ; housse ; couette ; protection ; douche ; corde ; bâche
couverture.n 280 :: peau ; lune ; nouveau ; police ; page ; lecture ; rédaction ; maison ; fin ; jeunesse
débit.n 64 :: compte ; faciliter ; automatique ; banque ; virement ; taux ; client ; privilèg ; bureau ; solde
débit.n 87 :: déficit ; commerce ; flux ; compte ; capacité ; expédition ; production ; exécution ; journalier ; écart
débit.n 115 :: niveau ; rythme ; cours ; flot ; flux ; delta ; volume ; régime ; poids ; écoulement
débit.n 131 :: barrage ; lit ; bassin ; produit ; eau ; lac ; chambre ; courant ; réservoir ; système
débit.n 136 :: cours ; niveau ; vanne ; apport ; affluent ; ouvrage ; débordement ; journalier ; flux ; volume
débit.n 168 :: banque ; compte ; bancaire ; crédit ; paiement ; mensuel ; détail ; ligne ; demande ; cours
débit.n 169 :: cours ; niveau ; rythme ; service ; volume ; flux ; développement ; traitement ; montant ; prix
débit.n 184 :: score ; potentiel ; rythme ; taux ; intérêt ; rendement ; retard ; support ; déploiement ; développement
débit.n 188 :: vin ; verger ; produit ; cap ; exportation ; voire ; port ; maritime ; pourcentage ; barre
débit.n 205 :: flux ; lent ; binaire ; rythme ; mode ; moyen ; tempo ; accès ; canal ; long
direction.n 78 :: conduite ; responsabilité ; coordination ; présidence ; houlette ; performance ; diriger ; route ; discipline ; main
direction.n 111 :: orientation ; conduite ; ligne ; directrice ; vision ; tête ; responsabilité ; unité ; tendance ; organisation
direction.n 151 :: responsabilité ; gestion ; responsable ; général ; directrice ; diriger ; directeur ; management ; interne ; équipe
direction.n 152 :: central ; directeur ; général ; contrôle ; gestion ; management ; supérieur ; présidence ; électrique ; principal
direction.n 172 :: destination ; rejoindre ; forme ; diriger ; directrice ; directeur ; cap ; orientation ; nord ; pari
direction.n 176 :: conduite ; performance ; vitesse ; rapport ; position ; sens ; pied ; comportement ; tête ; sécurité
direction.n 199 :: nouveau ; actuel ; national ; général ; européen ; médical ; politique ; supérieur ; français ; bon
direction.n 223 :: conduite ; voie ; maîtrise ; progression ; tâche ; responsabilité ; gestion ; transmission ; suite ; préparation
direction.n 262 :: général ; directeur ; directrice ; responsable ; contrôle ; financier ; stratégie ; supérieur ; nouveau ; nommer
direction.n 279 :: venir ; province ; provenance ; vallée ; région ; destination ; face ; revenir ; sens ; direct
don.n 19 :: sens ; talent ; style ; pouvoir ; temps ; droit ; degré ; souci ; niveau ; fonds
don.n 30 :: petit ; bon ; naturel ; merveilleux ; précieux ; doux ; humain ; grand ; proche ; également
don.n 36 :: simple ; cadeau ; bon ; sens ; vrai ; mécénat ; petit ; véritable ; double ; geste
don.n 60 :: cadeau ; sacrifice ; échange ; travail ; produit ; service ; commerce ; rapport ; livre ; bon
don.n 84 :: fonds ; cadeau ; contribution ; apport ; legs ; enfant ; produit ; soutien ; animal ; salarié
don.n 107 :: faire ; cadeau ; usage ; preuve ; part ; confiance ; offrir ; présent ; montre ; der
don.n 130 :: fonds ; cadeau ; contribution ; soutien ; enfant ; secours ; homme ; signe ; généreux ; ami
don.n 196 :: talent ; génie ; pouvoir ; temps ; chic ; trésor ; secret ; traitement ; sens ; truc
don.n 244 :: cadeau ; droit ; mécénat ; présent ; bon ; souher ; contenir ; geste ; saint ; recevoir
don.n 245 :: témoignage ; travail ; cadeau ; rôle ; exemple ; cas ; geste ; récit ; nom ; bijou
entraîner.v 39 :: air ; art ; interne ; or ; aide ; image ; étroit ; afghan ; international ; italien
entraîner.v 47 :: aider ; obliger ; engager ; pousse ; encourager ; amener ; conduire ; aide ; inciter ; apprendre
entraîner.v 55 :: aide ; art ; clip ; arriver ; air ; image ; international ; intégrer ; or ; port
entraîner.v 57 :: or ; ensemble ; emploi ; eau ; air ; euro ; administration ; aide ; écran ; être
entraîner.v 133 :: ancien ; air ; aide ; international ; art ; expédier ; clip ; étranger ; eau ; apparent
entraîner.v 140 :: amener ; mener ; envoyer ; conduire ; pousser ; attirer ; engager ; emporter ; aller ; lancer
entraîner.v 144 :: conduire ; pousse ; force ; engager ; déjà ; amener ; également ; mettre ; préparer ; doucement
entraîner.v 161 :: provoquer ; amener ; apparaître ; engendrer ; conduire ; éviter ; expliquer ; créer ; produire ; accentuer
entraîner.v 162 :: provoquer ; amener ; conduire ; favoriser ; généralement ; commencer ; lentement ; encourager ; accélérer ; inévitablement
entraîner.v 191 :: emporter ; conduire ; pousser ; attirer ; amener ; précipiter ; engager ; traîner ; envoyer ; provoquer
éplucher.v 10 :: os ; serre ; amande ; aubergine ; noix ; peler ; pai ; prune ; terra ; cueillir
éplucher.v 51 :: lire ; éplucher ; fouillé ; examiner ; regarder ; analyser ; récolter ; accès ; retourner ; pourrir
éplucher.v 69 :: faire ; passer ; aller ; également ; rapidement ; lire ; répondre ; soigneusement ; travailler ; systématiquement
éplucher.v 100 :: éplucher ; rôti ; finement ; laver ; couper ; peler ; récolter ; trancher ; nettoyer ; extraire
éplucher.v 119 :: forum ; fouillé ; regarder ; chercher ; croiser ; trouver ; commander ; lire ; parcourir ; écrire
éplucher.v 167 :: an ; laisser ; légume ; également ; oignon ; déposer ; veiller ; retourner ; découvrir ; regarder
éplucher.v 174 :: lire ; voir ; consulter ; retrouver ; parcourir ; afficher ; regarder ; récupérer ; découvrir ; supprimer
éplucher.v 235 :: peler ; récolter ; arracher ; cueillir ; faire ; engranger ; extrair ; ramasser ; sélectionner ; presser
éplucher.v 236 :: éplucher ; faire ; soigneusement ; gros ; moult ; avoir ; vite ; scrupuleusement ; régulièrement ; attentivement
éplucher.v 258 :: peler ; blanchir ; laver ; rincer ; presser ; arroser ; égoutter ; cuire ; faire ; manger
espace.n 13 :: or ; centre ; art ; ensemble ; établissement ; accueil ; grand ; instrument ; ouvrage ; immeuble
espace.n 27 :: air ; or ; image ; antique ; eau ; énergie ; aide ; ancien ; immigré ; art
espace.n 79 :: zone ; option ; environnement ; aire ; outil ; ensemble ; coin ; pôle ; emplacement ; support
espace.n 120 :: air ; article ; étroit ; apercevoir ; excellent ; être ; aide ; heureux ; avoir ; énergie
espace.n 137 :: environnement ; marché ; information ; emploi ; investissement ; développement ; enseignement ; entreprise ; avenir ; habitat
espace.n 142 :: air ; afghan ; interne ; international ; eau ; actuel ; or ; américain ; irréversible ; indien
espace.n 180 :: grand ; petit ; extérieur ; nouveau ; intérieur ; lumineux ; supplémentaire ; service ; agréable ; public
espace.n 208 :: ancien ; ion ; innombrable ; grand ; euro ; énorme ; immense ; us ; article ; excellent
espace.n 229 :: talent ; service ; produit ; petit ; propre ; atout ; événement ; environnement ; projet ; investissement
espace.n 243 :: ensemble ; temps ; article ; coin ; enregistrement ; jour ; emplacement ; droit ; contenu ; ligne
essuyer.v 11 :: laver ; désinfection ; essuyer ; rincer ; faire ; remplir ; nettoyer ; ouvrir ; rinçage ; avoir
essuyer.v 58 :: subir ; essuie ; constater ; déjà ; durement ; rencontrer ; croiser ; ici ; systématiquement ; recevoir
essuyer.v 77 :: essuie ; blanc ; propre ; sec ; poli ; brillant ; eau ; lisse ; mat ; soigneusement
essuyer.v 81 :: essuie ; laver ; éponge ; enduire ; tremper ; faire ; sale ; abondamment ; but ; devoir
essuyer.v 86 :: ligne ; recevoir ; internet ; devoir ; assister ; assurer ; passer ; laisse ; recueillir ; tenir
essuyer.v 89 :: frapper ; régulièrement ; revers ; recevoir ; rencontrer ; constater ; subir ; opposer ; malheureusement ; récemment
essuyer.v 98 :: faire ; voir ; recevoir ; encaisser ; prendre ; découvrir ; subir ; gagner ; manger ; rencontrer
essuyer.v 166 :: pépin ; sécher ; noyau ; graine ; nettoyer ; presser ; peler ; laver ; éplucher ; rafraîchir
essuyer.v 215 :: recueillir ; déjà ; recevoir ; finalement ; rejeter ; refuser ; obtenir ; fermement ; repousser ; presque
essuyer.v 266 :: enlever ; retirer ; éviter ; assurer ; nettoyer ; faire ; couvrir ; fermer ; balayer ; observer
faucher.v 12 :: écraser ; déposer ; renverser ; tuer ; jeter ; tracée ; assassiner ; abattre ; enlever ; agresser
faucher.v 42 :: donnée ; entreprise ; disponible ; produit ; utiliser ; associer ; information ; dernier ; acquérir ; privé
faucher.v 116 :: finement ; allègrement ; abattre ; faux ; presque ; joyeusement ; pré ; semer ; froidement ; pousser
faucher.v 160 :: lier ; donne ; brise ; vie ; amour ; main ; paix ; trouver ; terre ; rencontre
faucher.v 214 :: faire ; extrêmement ; acheter ; presque ; payer ; travailler ; voir ; lutter ; prendre ; davantage
faucher.v 239 :: servir ; acheter ; être ; jamais ; entamer ; commander ; renverser ; presque ; déjà ; extra
faucher.v 248 :: plaqu ; pointe ; tombe ; marque ; faux ; tête ; hache ; os ; céramique ; fourche
faucher.v 276 :: abattre ; planter ; couper ; creuser ; tailler ; piquer ; filer ; cueillir ; reconnaître ; arracher
faucher.v 282 :: finalement ; remplacer ; piqu ; falloir ; passer ; trouver ; casser ; frappe ; cadre ; définitivement
faucher.v 290 :: abattre ; tuer ; sauvagement ; grièvement ; blesser ; gravement ; sacrifice ; cruellement ; froidement ; pré
fonder.v 6 :: organiser ; créer ; fondre ; diriger ; former ; établir ; installer ; commanda ; lancer ; bâtir
fonder.v 7 :: motiver ; force ; sous-tendre ; porte ; légitime ; base ; conditionne ; traverser ; appuyer ; guide
fonder.v 54 :: base ; construire ; appuyer ; trouver ; gagner ; tire ; ancre ; assurer ; bâtir ; force
fonder.v 66 :: développer ; forme ; ferme ; direction ; fondation ; finir ; traverser ; forge ; rejoindre ; dépose
fonder.v 88 :: installer ; ensemble ; pari ; ferme ; direction ; dot ; fondation ; louis ; intégrer ; français
fonder.v 93 :: forme ; définir ; traverser ; assurer ; constituer ; force ; base ; conditionne ; marque ; construire
fonder.v 158 :: base ; repose ; cale ; fond ; appuyer ; construire ; forge ; appui ; centre ; situer
fonder.v 212 :: former ; créer ; faire ; contracter ; constituer ; fondre ; forger ; fabriquer ; composer ; bâtir
fonder.v 264 :: force ; constituer ; motiver ; définir ; bâtir ; vraiment ; base ; faire ; valide ; traverser
fonder.v 286 :: compte ; forme ; forge ; réunir ; force ; diriger ; développer ; fabrique ; créer ; formule
grossier.a 24 :: stupide ; ridicule ; complet ; absurde ; grotesque ; radical ; total ; flagrant ; absolu ; monumental
grossier.a 37 :: complet ; avancer ; facile ; exact ; évident ; subtil ; faible ; flagrant ; frapper ; simple
grossier.a 85 :: arrogant ; violent ; agressif ; dangereux ; cruel ; vulgaire ; jaloux ; méchant ; orgueilleux ; scolaire
grossier.a 108 :: fin ; tendre ; sec ; humide ; dur ; irrégulier ; hétérogène ; mixte ; profond ; plat
grossier.a 134 :: léger ; subtil ; grand ; fort ; long ; haut ; gros ; bel ; petit ; mauvais
grossier.a 179 :: information ; propagande ; analyse ; diffusion ; accusation ; preuve ; intention ; désinformation ; publicité ; communication
grossier.a 227 :: chat ; extrêmement ; franc ; vraiment ; fin ; arrogant ; caractère ; monter ; susceptible ; vulgaire
grossier.a 228 :: vulgaire ; fait ; déplacer ; sexuel ; fabriquer ; approprié ; propos ; retenir ; public ; produit
grossier.a 231 :: vulgaire ; humain ; profond ; simple ; social ; facile ; profane ; coupable ; moral ; noble
grossier.a 300 :: stupide ; vulgaire ; noir ; commune ; meurtrier ; féroce ; primitif ; barbare ; indigne ; lâche
hermétique.a 203 :: quasi ; oeil ; totalement ; presque ; regard ; voire ; secret ; porte ; discrétion ; définitivement
hermétique.a 71 :: étanche ; effrayant ; mystérieux ; rassurant ; opaque ; obscur ; spectaculaire ; commun ; secret ; inquiétant
hermétique.a 99 :: fermer ; sceller ; plastique ; congélation ; transparent ; étanche ; conserve ; percer ; forme ; alimentaire
hermétique.a 126 :: interne ; totalement ; presque ; quasi ; déjà ; in ; devenir ; voire ; tomber ; ici
hermétique.a 127 :: étanche ; secret ; rigide ; opaque ; fermé ; fermer ; interne ; élitiste ; froid ; magique
hermétique.a 220 :: demeurer ; rester ; totalement ; fin ; extrêmement ; garde ; fois ; absolu ; vis-à-vis ; parfaitement
hermétique.a 226 :: insensible ; imperméable ; fermer ; indifférent ; étanche ; sourd ; réfractaire ; sensible ; étranger ; attentif
hermétique.a 261 :: sec ; discret ; interdire ; étanche ; explicite ; magique ; limite ; opaque ; hypocrite ; incompréhensible
hermétique.a 278 :: alimentaire ; secret ; traditionnel ; noir ; étanche ; blanc ; parfait ; chimique ; religieux ; français
hermétique.a 204 :: porte ; magique ; livre ; offrir ; secret ; oeil ; coffret ; sceau ; art ; lettre
incorrect.a 45 :: actif ; con ; der ; rée ; évaluation ; humaine ; estimer ; opérationnel ; adapter ; politiquement
incorrect.a 125 :: in ; vraiment ; devenir ; totalement ; super ; complètement ; der ; parfaitement ; rester ; presque
incorrect.a 132 :: également ; faire ; naître ; mal ; fort ; tomber ; tournée ; demeurer ; totalement ; être
incorrect.a 156 :: politique ; juridique ; normal ; in ; professionnel ; devoir ; judiciaire ; passer ; général ; apparemment
incorrect.a 159 :: application ; transposition ; interprétation ; pratique ; utilisation ; infraction ; applicabilité ; législation ; directive ; modification
incorrect.a 177 :: inverse ; donner ; précis ; exact ; correct ; déterminer ; erroné ; normal ; régulier ; total
incorrect.a 217 :: ici ; superflu ; politiquement ; inutile ; correct ; approximatif ; stupide ; incomplet ; personnel ; léger
incorrect.a 241 :: vraiment ; complètement ; parfaitement ; totalement ; dire ; rée ; presque ; apparemment ; rester ; normalement
incorrect.a 298 :: décevant ; vrai ; maladroit ; ridicule ; inefficace ; évident ; insuffisant ; faux ; inutile ; injuste
incorrect.a 299 :: personnel ; donnée ; bancaire ; confidentiel ; effacer ; électronique ; transmettre ; identifiabler ; légalement ; financier
intérêt.n 63 :: avis ; opinion ; sentiment ; point ; principe ; grief ; adversaire ; élément ; idée ; objectif
intérêt.n 97 :: entier ; article ; évolution ; actuel ; nouveau ; audiovisuelle ; irremplaçable ; origine ; groupe ; ensemble
intérêt.n 129 :: aide ; air ; art ; international ; américain ; or ; ensemble ; efficace ; us ; actuel
intérêt.n 146 :: or ; art ; évolution ; emploi ; image ; air ; ensemble ; aide ; énergie ; origine
intérêt.n 155 :: commission ; politique ; développement ; parlement ; entreprise ; nouveau ; conseil ; législation ; institution ; secteur
intérêt.n 218 :: avantage ; attrer ; importance ; utilité ; intéressant ; sens ; enseignement ; bénéfice ; aspect ; atout
intérêt.n 263 :: air ; alpha ; cor ; international ; voir ; étymologie ; indien ; afghan ; interne ; impérative
intérêt.n 268 :: international ; étymologie ; étroit ; air ; art ; usage ; aide ; incessant ; effectif ; actuel
intérêt.n 271 :: origine ; eau ; aide ; actuel ; étrange ; étroit ; utilisateur ; être ; histoire ; accueil
intérêt.n 297 :: aide ; or ; ensemble ; énergie ; international ; externe ; heureux ; animal ; origine ; efficace
interpréter.v 18 :: chanter ; jouer ; interprétation ; arranger ; ré ; enregistrer ; principalement ; imaginer ; inspirer ; offrir
interpréter.v 21 :: arranger ; jouer ; illustrer ; enregistrer ; chanter ; écouter ; adapter ; imaginer ; écrire ; montrer
interpréter.v 59 :: expliquer ; comprendre ; penser ; analyser ; lire ; faire ; évaluer ; entendre ; inverser ; définir
interpréter.v 80 :: aide ; or ; art ; expérience ; aller ; énergie ; usage ; air ; anglais ; an
interpréter.v 123 :: air ; aide ; or ; externe ; énergie ; international ; évolution ; entrée ; actuel ; introduction
interpréter.v 128 :: prendre ; incarner ; joue ; double ; saint ; assurer ; jean ; rôle ; ici ; interprétation
interpréter.v 157 :: traduire ; écrire ; recevoir ; exprimer ; accueillir ; joue ; incarner ; imaginer ; influence ; interprétation
interpréter.v 260 :: comprendre ; expliquer ; analyser ; faire ; apprécier ; interprétation ; exprimer ; décoder ; exploiter ; confirmer
interpréter.v 267 :: considérer ; comprendre ; entendre ; interprétation ; vivre ; donner ; recevoir ; attribuer ; présenter ; percevoir
interpréter.v 289 :: imaginer ; incarner ; jouer ; enseigner ; chanter ; animé ; servir ; arranger ; orchestré ; interprétation
maintenir.v 94 :: soutenir ; ajouter ; écrire ; répéter ; apprendre ; entendre ; insister ; déclarer ; souligner ; préciser
maintenir.v 113 :: inscrire ; présent ; enregistrer ; visible ; mentionner ; signaler ; identifier ; indiquer ; figurer ; référencer
maintenir.v 154 :: garder ; conserver ; tenir ; renforcer ; observer ; assurer ; poursuivre ; demeurer ; exercer ; mettre
maintenir.v 175 :: garder ; préserver ; maintien ; entretenir ; conserver ; perpétuer ; détruire ; mettre ; dominer ; favoriser
maintenir.v 183 :: préserver ; conserver ; garder ; demeurer ; favoriser ; garantir ; perdurer ; entretenir ; instaurer ; susciter
maintenir.v 207 :: conserver ; préserver ; garder ; demeurer ; maintien ; soutenir ; rester ; retenir ; stabiliser ; sauvegarder
maintenir.v 230 :: ouvrage ; ledit ; lesdit ; total ; prochain ; maint ; appuyer ; parfair ; réciproquement ; bien
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; rappeler ; estime ; réaffirmer ; reconnaître ; garantir ; admettre
maintenir.v 251 :: réitérer ; confirmer ; répéter ; renouveler ; réaffirmer ; tenir ; conserve ; reprendre ; continuer ; poursuivre
maintenir.v 281 :: dire ; persist ; soutien ; croire ; affirmer ; ajouter ; demeure ; tenir ; vouloir ; fermement
mince.a 17 :: épais ; fin ; étroit ; serrer ; légèrement ; épaisseur ; rigide ; large ; également ; petit
mince.a 96 :: fin ; épais ; régulier ; léger ; fixe ; sec ; continuer ; lisse ; supérieur ; lâche
mince.a 147 :: faible ; léger ; sommaire ; bel ; simple ; fin ; politique ; complet ; intéressant ; maigre
mince.a 170 :: faible ; bon ; léger ; serrer ; fort ; fragile ; petit ; maigre ; étroit ; limité
mince.a 192 :: tige ; feuille ; fin ; lamelle ; fibre ; membrane ; légèrement ; plaque ; cristal ; minuscule
mince.a 202 :: petit ; fin ; léger ; nouveau ; épais ; grand ; dernier ; faible ; presque ; haut
mince.a 213 :: maigre ; minime ; faible ; petit ; réduire ; limité ; fin ; évident ; discret ; significatif
mince.a 225 :: fin ; maigre ; petit ; silhouette ; bel ; épais ; robe ; homme ; léger ; jambe
mince.a 242 :: presque ; fort ; limite ; serrer ; légèrement ; loin ; étroit ; vraiment ; extrêmement ; fin
mince.a 292 :: conducteur ; fin ; solaire ; métallique ; supérieur ; sensible ; continuer ; magnétique ; cristalline ; double
modeste.a 29 :: petit ; humble ; minuscule ; dérisoire ; local ; confortable ; logement ; bâtiment ; misérable ; grand
modeste.a 114 :: humble ; bon ; petit ; pauvre ; honnête ; faible ; vivant ; gentil ; charmant ; grand
modeste.a 121 :: faible ; minime ; important ; limité ; petit ; mesurer ; infime ; marginal ; dérisoire ; réduire
modeste.a 163 :: limité ; médiocre ; minime ; faible ; petit ; nécessaire ; important ; léger ; complet ; spectaculaire
modeste.a 195 :: personnel ; limité ; faible ; symbolique ; médiocre ; convenable ; minime ; économique ; élevé ; considérable
modeste.a 197 :: pauvre ; aisé ; concerner ; fragile ; économique ; parisien ; faible ; récent ; français ; aider
modeste.a 200 :: léger ; nécessaire ; politique ; canada ; total ; service ; conseil ; impôt ; enquête ; justice
modeste.a 246 :: élevé ; faible ; important ; médiocre ; moindre ; léger ; économique ; considérable ; intermédiaire ; populaire
modeste.a 269 :: humble ; petit ; pauvre ; jeune ; devenir ; bon ; russe ; digne ; honnête ; pourtant
modeste.a 283 :: humble ; honnête ; digne ; personnel ; honorable ; modestie ; médiocre ; décevant ; pauvre ; petit
montée.n 15 :: courbe ; côte ; poussée ; chute ; victoire ; dérive ; baisse ; fille ; réduction ; descente
montée.n 56 :: progression ; descente ; construction ; dernier ; ascension ; augmentation ; montagne ; partie ; moyen ; constant
montée.n 75 :: suite ; descente ; face ; monte ; promotion ; terrasse ; entrée ; passerelle ; accession ; promenade
montée.n 138 :: évolution ; performance ; hausse ; gestion ; valeur ; croissance ; complexité ; puissance ; qualité ; demande
montée.n 141 :: fonte ; hausse ; descente ; mise ; monte ; chute ; tendance ; construction ; stabilisation ; maîtrise
