affection.n 8 :: article ; institution ; instruction ; affectation ; enseignement ; famille ; considération ; participation ; disposition ; préférence
éplucher.v 119 :: fouillé ; regarder ; lire ; chercher ; trouver ; parcourir ; croiser ; consulter ; forum ; taper
éplucher.v 167 :: oignon ; poireau ; échalote ; terre ; peau ; finement ; tendre ; feuille ; raison ; persil
éplucher.v 174 :: faire ; venir ; bientôt ; article ; lire ; découvrir ; voir ; marier ; aiguille ; aller
éplucher.v 235 :: peler ; faire ; passer ; devoir ; presser ; récolter ; conseiller ; trancher ; savoir ; aller
éplucher.v 236 :: aller ; bon ; déjà ; pourtant ; récolter ; énormément ; donner ; également ; vraiment ; piocher
éplucher.v 258 :: peler ; faire ; laver ; cuire ; manger ; blanchir ; retirer ; écraser ; ôter ; conserver
espace.n 13 :: ensemble ; or ; origine ; art ; accueil ; air ; international ; ici ; ouverture ; aide
espace.n 27 :: or ; actuel ; air ; état ; an ; éternel ; intérieur ; international ; antique ; histoire
espace.n 79 :: coin ; local ; service ; poste ; serveur ; bureau ; salon ; centre ; stand ; studio
espace.n 120 :: article ; énergie ; information ; air ; enregistrement ; utilisation ; environnement ; interface ; emploi ; argent
espace.n 137 :: environnement ; investissement ; entreprise ; instrument ; information ; marché ; enseignement ; article ; emploi ; avenir
espace.n 142 :: air ; international ; art ; interne ; eau ; étranger ; énergie ; étymologie ; image ; aide
espace.n 180 :: temps ; place ; emplacement ; partage ; lien ; zone ; champ ; fichier ; lieu ; case
espace.n 208 :: euro ; ancien ; entreprise ; or ; innombrable ; user ; article ; air ; établissement ; enseignant
espace.n 229 :: produit ; propre ; événement ; service ; investissement ; environnement ; aménagement ; projet ; petit ; talent
espace.n 243 :: article ; coin ; intervalle ; ligne ; écran ; compte ; vide ; place ; ensemble ; jeu
essuyer.v 11 :: laver ; essuyer ; rincer ; fermer ; ouvrir ; faire ; remplir ; passer ; préparer ; eau
essuyer.v 58 :: subir ; constater ; essuie ; rencontrer ; malheureusement ; déjà ; accumuler ; également ; avoir ; recevoir
essuyer.v 77 :: laver ; faire ; essuie ; rentrer ; relever ; rester ; laisser ; avoir ; serrer ; être
essuyer.v 81 :: laver ; éponge ; devoir ; essuie ; ra ; pouvoir ; avoir ; falloir ; être ; usa
essuyer.v 86 :: recevoir ; assurer ; devoir ; continuer ; passer ; assister ; laisse ; obtenir ; complet ; recueillir
essuyer.v 89 :: durement ; face ; refus ; essuie ; ici ; subir ; suite ; pierre ; hier ; constamment
essuyer.v 98 :: faire ; encaisser ; subir ; regretter ; recevoir ; payer ; souffrir ; découvrir ; prendre ; voir
essuyer.v 166 :: pépin ; noyau ; sécher ; graine ; baie ; feuille ; main ; légume ; olive ; noix
essuyer.v 215 :: recevoir ; subir ; essuie ; recueillir ; connaître ; récolter ; déjà ; affronter ; enchaîner ; cumulé
essuyer.v 266 :: essuie ; laver ; soigneusement ; enlever ; retourner ; ensemble ; ensuite ; torchon ; rincer ; délicatement
faucher.v 12 :: jeter ; presque ; bientôt ; agresser ; briser ; tuer ; passer ; publier ; involontairement ; soudainement
faucher.v 42 :: donnée ; découverte ; également ; ajouter ; présent ; premier ; nouveau ; utiliser ; peut-être ; disponible
faucher.v 116 :: semer ; labour ; abattre ; planter ; donner ; pousser ; illégalement ; détruire ; pied ; pré
faucher.v 160 :: faire ; tuer ; avoir ; mettre ; donne ; naître ; donner ; trouver ; envoyer ; être
faucher.v 214 :: extrêmement ; faire ; mutuellement ; travailler ; acheter ; politiquement ; payer ; profondément ; coûter ; presque
faucher.v 239 :: servir ; jeter ; cassé ; acheter ; déjà ; partager ; presque ; donne ; tombe ; mise
faucher.v 248 :: meurtre ; voiture ; crime ; tombe ; taire ; attentat ; laisse ; jeune ; tête ; véhicule
faucher.v 276 :: abattre ; couper ; semer ; planter ; tailler ; échanger ; arracher ; cueillir ; garder ; alterner
faucher.v 282 :: remplacer ; piqu ; marque ; éliminer ; face ; relever ; relance ; centre ; dépose ; cherche
faucher.v 290 :: grièvement ; trouver ; porter ; blesser ; hacher ; marquer ; gravement ; contaminé ; donner ; verser
fonder.v 6 :: créer ; fondre ; organiser ; diriger ; bâtir ; former ; développer ; quitter ; ouvrir ; installer
fonder.v 7 :: cadre ; force ; porte ; conditionne ; base ; traverser ; constituer ; caractériser ; définir ; pourtant
fonder.v 54 :: base ; bâtir ; appuyer ; trouver ; construire ; repose ; gagner ; prendre ; porte ; marque
fonder.v 66 :: rejoindre ; créer ; épouse ; installer ; commencer ; ferme ; intégrer ; décrire ; fond ; trouver
fonder.v 88 :: forme ; créer ; commencer ; intégrer ; traverser ; diriger ; finance ; ferme ; quitte ; développer
fonder.v 93 :: définir ; forme ; traverser ; constituer ; force ; assurer ; construire ; marque ; forge ; lier
fonder.v 158 :: base ; repose ; focaliser ; bâtir ; fond ; forge ; ferme ; cale ; calque ; appuyer
fonder.v 212 :: constituer ; contracter ; fabriquer ; former ; créer ; faire ; bâtir ; réunir ; forger ; développer
fonder.v 264 :: définir ; motiver ; base ; appuyer ; valide ; force ; expliquer ; traverser ; constituer ; nourrir
fonder.v 286 :: développer ; fabrique ; forme ; réunir ; ouvrir ; ferme ; compte ; monte ; créer ; diriger
grossier.a 24 :: grave ; courant ; complet ; stupide ; total ; évident ; radical ; flagrant ; simple ; formel
grossier.a 37 :: avancer ; technique ; fin ; complet ; ancien ; efficace ; élaborer ; simple ; flagrant ; sophistiquer
grossier.a 85 :: agressif ; violent ; lâche ; méchant ; tendre ; coller ; arrogant ; con ; sauvage ; autoritaire
grossier.a 108 :: épar ; calcaire ; tendre ; plat ; clair ; léger ; fin ; rond ; minéral ; étranger
grossier.a 134 :: léger ; grand ; gros ; fort ; grave ; évident ; petit ; subtil ; lourd ; sérieux
grossier.a 179 :: tentative ; opération ; exploitation ; accusation ; forme ; manière ; volontairement ; preuve ; version ; évident
grossier.a 227 :: vulgaire ; maladroit ; ridicule ; poli ; abuser ; franc ; arrogant ; excessif ; idiot ; prétentieux
grossier.a 228 :: témoignage ; mensonge ; signe ; compte ; signal ; rôle ; billet ; soin ; rapport ; policier
grossier.a 231 :: profond ; inférieur ; humain ; profane ; médiocre ; supérieur ; superficiel ; coupable ; matériel ; simple
grossier.a 300 :: chose ; faute ; erreur ; remarque ; image ; impression ; accusation ; trace ; coquille ; faire
hermétique.a 203 :: arcane ; magique ; texte ; oriental ; ultime ; mystique ; théologique ; lecture ; fiction ; énigme
hermétique.a 71 :: mystérieux ; étrange ; énigmatique ; paradoxal ; magique ; secret ; barbare ; opaque ; obscur ; ambigu
hermétique.a 99 :: fermer ; sceller ; plastique ; entier ; conserve ; étanche ; congélation ; transparent ; contenir ; chinois
hermétique.a 126 :: réfractaire ; insensible ; imperméable ; allergique ; indifférent ; dépendre ; fermer ; perméable ; étanche ; sourd
hermétique.a 127 :: étanche ; solide ; secret ; presque ; fermé ; technique ; efficace ; magique ; rigide ; logique
hermétique.a 220 :: entrer ; presque ; clairement ; clos ; fermer ; apparemment ; quasi ; purement ; étancher ; rigoureusement
hermétique.a 226 :: réfractaire ; insensible ; sensible ; initier ; imperméable ; allergique ; acquérir ; fermer ; hostile ; habituer
hermétique.a 261 :: étanche ; sec ; automatique ; rapide ; magique ; mécanique ; fermer ; complémentaire ; opaque ; étonnant
hermétique.a 278 :: étanche ; fermé ; plastique ; solide ; alimentaire ; transparent ; chimique ; interne ; noir ; creux
hermétique.a 204 :: étancher ; opaque ; vide ; étanche ; fermer ; étanchéité ; clos ; écran ; ferme ; vase
incorrect.a 45 :: opérationnel ; actif ; complètement ; estimer ; rée ; humaine ; global ; con ; totalement ; parfaitement
incorrect.a 125 :: us ; dire ; existant ; an ; su ; jamais ; sensiblement ; disponible ; également ; visiblement
incorrect.a 132 :: commune ; naître ; également ; français ; tomber ; faire ; entier ; immense ; armée ; totalement
incorrect.a 156 :: politique ; in ; judiciaire ; vraiment ; humaine ; juger ; politiquement ; parfaitement ; professionnel ; pratique
incorrect.a 159 :: transposition ; application ; applicabilité ; interprétation ; pratique ; législation ; utilisation ; disposition ; version ; directive
incorrect.a 177 :: correct ; précis ; inverse ; erroné ; supérieur ; donner ; arbitraire ; aléatoire ; spécifier ; contraire
incorrect.a 217 :: politiquement ; ici ; volontairement ; inapproprié ; ultérieurement ; intentionnellement ; inutile ; ci-dessous ; juridiquement ; là
incorrect.a 241 :: mal ; vraiment ; parfaitement ; totalement ; presque ; complètement ; apparemment ; difficilement ; peut-être ; dire
incorrect.a 298 :: évident ; vrai ; ridicule ; inutile ; malheureux ; décevant ; nécessaire ; injuste ; regrettable ; étrange
incorrect.a 299 :: personnel ; confidentiel ; donnée ; numérique ; bancaire ; électronique ; opérationnel ; financier ; transmettre ; légal
intérêt.n 63 :: adversaire ; élément ; avis ; avantage ; grief ; sentiment ; appétit ; objectif ; camp ; ennemi
intérêt.n 97 :: nouveau ; principal ; participation ; excellent ; international ; grand ; véritable ; propre ; information ; audiovisuelle
intérêt.n 129 :: externe ; or ; étroit ; aide ; efficace ; international ; art ; image ; étranger ; énergie
intérêt.n 146 :: or ; air ; art ; aide ; éternel ; international ; acte ; image ; homme ; évolution
intérêt.n 155 :: article ; utilisateur ; information ; international ; énergie ; entreprise ; effectif ; appareil ; audiovisuel ; ancien
intérêt.n 218 :: avantage ; côté ; intéressant ; bénéfice ; important ; double ; utilité ; faible ; grand ; attrer
intérêt.n 263 :: principal ; nouveau ; propre ; excellent ; éventuel ; meilleur ; véritable ; air ; cor ; art
intérêt.n 268 :: air ; image ; aide ; international ; or ; interne ; origine ; ensemble ; externe ; actuel
intérêt.n 271 :: être ; apparemment ; apercevoir ; habituel ; exemple ; élastique ; origine ; habituellement ; étroit ; indispensable
intérêt.n 297 :: air ; aide ; or ; externe ; image ; art ; animal ; heureux ; clip ; immigré
interpréter.v 18 :: chanter ; jouer ; interprétation ; présenter ; offrir ; raconter ; écrire ; préparer ; proposer ; composer
interpréter.v 21 :: arranger ; adapter ; illustrer ; chanter ; écrire ; jouer ; enregistrer ; écouter ; imaginer ; expliquer
interpréter.v 59 :: comprendre ; expliquer ; inverser ; penser ; voir ; analyser ; entendre ; lire ; articuler ; faire
interpréter.v 80 :: aide ; ensemble ; image ; or ; art ; aimer ; histoire ; ici ; aller ; origine
interpréter.v 123 :: ambassade ; international ; alpha ; usage ; étymologie ; étroit ; art ; aide ; introduction ; image
interpréter.v 128 :: joue ; incarner ; ici ; assurer ; double ; in ; interprétation ; jouer ; rôle ; an
interpréter.v 157 :: traite ; traduire ; recevoir ; assurer ; voir ; analyse ; écrire ; actif ; utiliser ; modèle
interpréter.v 260 :: interprétation ; comprendre ; décoder ; analyser ; entendre ; lire ; apprécier ; faire ; confirmer ; déchiffrer
interpréter.v 267 :: entendre ; interprétation ; vivre ; comprendre ; recevoir ; vue ; percevoir ; lire ; énoncer ; expliquer
interpréter.v 289 :: chanter ; jouer ; incarner ; animé ; présenter ; interprétation ; offrir ; habiter ; imaginer ; servir
maintenir.v 94 :: apprendre ; ajouter ; enseigner ; écrire ; déclarer ; préciser ; montrer ; affirmer ; entendre ; conclure
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; identifier ; disponible ; signaler ; retrouver ; renseigner
maintenir.v 154 :: garder ; assurer ; conserver ; renforcer ; tenir ; également ; observer ; ferme ; soutenir ; pourtant
maintenir.v 175 :: maintien ; garder ; pouvoir ; préserver ; faire ; conserver ; entretenir ; durablement ; progressivement ; favoriser
maintenir.v 183 :: entretenir ; maintien ; garder ; préserver ; conserver ; assurer ; instaurer ; demeurer ; favoriser ; constamment
maintenir.v 207 :: préserver ; garder ; demeurer ; conserver ; maintien ; rester ; soutenir ; entretenir ; retenir ; favoriser
maintenir.v 230 :: tenir ; pouvoir ; dernier ; compter ; prochain ; poursuivre ; avoir ; société ; internet ; étranger
maintenir.v 234 :: souhaiter ; considérer ; réaffirmer ; vouloir ; soutenir ; prévoir ; rappeler ; proposer ; proclamer ; estime
maintenir.v 251 :: réitérer ; confirmer ; répéter ; réaffirmer ; tenir ; soutenir ; conserve ; renouveler ; défendre ; affirmer
maintenir.v 281 :: tenir ; fermement ; ajouter ; dire ; insister ; bon ; falloir ; persist ; compte ; appui
mince.a 17 :: fin ; maigre ; épais ; frêle ; légèrement ; petit ; déjà ; léger ; peut-être ; élastique
mince.a 96 :: fin ; épais ; régulier ; léger ; continuer ; moyen ; solide ; lisse ; uniforme ; dur
mince.a 147 :: sommaire ; léger ; faible ; maigre ; intéressant ; simple ; fin ; bel ; petit ; original
mince.a 170 :: légèrement ; carte ; être ; fin ; indiquer ; déjà ; grand ; livre ; feuille ; petit
mince.a 192 :: feuille ; fin ; particule ; petit ; léger ; lamelle ; fibre ; cristal ; papier ; vêtement
mince.a 202 :: petit ; fin ; double ; léger ; grand ; bel ; nouveau ; couche ; dernier ; forme
mince.a 213 :: petit ; léger ; légèrement ; fin ; secondaire ; fragile ; modèle ; indépendant ; physique ; être
mince.a 225 :: maigre ; voil ; fin ; petit ; presque ; bonheur ; honorable ; mesure ; sage ; joli
mince.a 242 :: fin ; chose ; préciser ; loin ; taille ; situer ; petit ; épais ; bon ; serrer
mince.a 292 :: fin ; épais ; supérieur ; léger ; isolant ; intermédiaire ; flexible ; écran ; film ; métallique
modeste.a 29 :: petit ; humble ; misérable ; confortable ; minuscule ; grand ; simple ; médiocre ; vaste ; triste
modeste.a 114 :: humble ; bon ; honnête ; noble ; petit ; pauvre ; digne ; vivant ; généreux ; poli
modeste.a 121 :: faible ; important ; petit ; limité ; considérable ; minime ; misérable ; minuscule ; négligeable ; significatif
modeste.a 163 :: humble ; faible ; pauvre ; minime ; petit ; misérable ; triste ; insignifiant ; léger ; dérisoire
modeste.a 195 :: personnel ; minime ; important ; petit ; faible ; réduire ; basique ; limité ; modérer ; maigre
modeste.a 197 :: pauvre ; faible ; aisé ; fragile ; économique ; concerner ; libre ; atypique ; élevé ; défavorisé
modeste.a 200 :: limité ; réduire ; faible ; comprendre ; léger ; intermédiaire ; restreindre ; petit ; marginal ; utile
modeste.a 246 :: élevé ; important ; faible ; léger ; économique ; considérable ; populaire ; humble ; raisonnable ; médiocre
modeste.a 269 :: petit ; humble ; jeune ; digne ; minuscule ; médiocre ; misérable ; pauvre ; maigre ; piètre
modeste.a 283 :: humble ; pauvre ; misérable ; honnête ; matériel ; digne ; discret ; petit ; médiocre ; confortable
montée.n 15 :: courbe ; poussée ; côte ; victoire ; droite ; pente ; fille ; réduction ; baisse ; tendance
montée.n 56 :: construction ; progression ; augmentation ; partie ; transformation ; échelle ; victoire ; vallée ; ligne ; maîtrise
montée.n 75 :: terrasse ; suite ; descente ; visite ; face ; journée ; promenade ; monte ; galerie ; balade
montée.n 138 :: évolution ; performance ; gestion ; demande ; complexité ; hausse ; construction ; poussée ; transformation ; qualité
montée.n 141 :: monte ; mise ; descente ; poussée ; progression ; réduction ; baisse ; hausse ; transformation ; chute
