affection.n 8 :: maladie ; affectation ; disposition ; dernier ; occasion ; épreuve ; opération ; institution ; amitié ; extrémité
compris.a 187 :: inclure ; situer ; également ; estimer ; fourchette ; croire ; évaluer ; variable ; autour ; prendre
compris.a 211 :: situer ; inclus ; mesurer ; superficiel ; identique ; maximal ; équivalent ; minimal ; varier ; grouper
compris.a 232 :: inclure ; contenu ; prendre ; compter ; intégré ; reprendre ; contenir ; classe ; également ; inclus
compris.a 272 :: comprendre ; saisir ; savoir ; apprendre ; réaliser ; penser ; entendre ; capter ; croire ; intégré
compris.a 287 :: comprendre ; intégré ; expliquer ; oublier ; disparaître ; clairement ; mal ; apprendre ; également ; répondre
couverture.n 65 :: page ; manchette ; rubrique ; dernier ; rédaction ; sommaire ; éditorial ; partie ; semaine ; introduction
couverture.n 67 :: vie ; peau ; réputation ; carrière ; survie ; mort ; chance ; chute ; route ; fortune
couverture.n 72 :: matière ; couvrir ; couvert ; table ; presse ; sol ; fond ; toiture ; photo ; dossier
couverture.n 143 :: couvrir ; fort ; bref ; éditorial ; case ; manchette ; professionnel ; dernier ; politique ; front
couverture.n 149 :: régime ; assurance ; protection ; sécurité ; couvert ; rente ; garantie ; vie ; capital ; système
couverture.n 150 :: toiture ; écriture ; pierre ; légende ; police ; illustration ; lune ; description ; province ; tâche
couverture.n 201 :: desserte ; surveillance ; couvrir ; pénétration ; conquête ; sécurité ; protection ; développement ; transformation ; connexion
couverture.n 257 :: toiture ; sol ; transformation ; construction ; base ; protection ; paille ; terre ; remplacement ; bois
couverture.n 265 :: couvrir ; véranda ; bâche ; serviette ; aile ; housse ; enveloppe ; trappe ; jaquette ; cape
couverture.n 280 :: peau ; protection ; voil ; lune ; surveillance ; sécurité ; véranda ; main ; neige ; maison
débit.n 64 :: retrait ; vente ; banque ; solde ; crédit ; paiement ; montant ; compte ; transfert ; dépôt
débit.n 87 :: montant ; coût ; remboursement ; paiement ; rachat ; prix ; solde ; cours ; financement ; salaire
débit.n 115 :: niveau ; flux ; flot ; cours ; poids ; volume ; pouvoir ; nombre ; jet ; tirage
débit.n 131 :: bassin ; inondation ; barrage ; cours ; eau ; système ; naturel ; niveau ; réservoir ; usage
débit.n 136 :: réel ; potentiel ; total ; moyen ; flux ; effectif ; volume ; valeur ; apport ; poids
débit.n 168 :: montant ; paiement ; poids ; niveau ; cash ; nombre ; crédit ; total ; traitement ; règlement
débit.n 169 :: cours ; niveau ; service ; commerce ; droit ; volume ; nom ; montant ; jour ; flux
débit.n 184 :: vitesse ; rendement ; taux ; capacité ; rythme ; prix ; intérêt ; coût ; densité ; cadence
débit.n 188 :: flux ; apport ; effectif ; niveau ; rejet ; volume ; cours ; quantité ; moyen ; coefficient
débit.n 205 :: flux ; rythme ; trafic ; écoulement ; tempo ; service ; mouvement ; fonctionnement ; flot ; temps
direction.n 78 :: conduite ; responsabilité ; coordination ; critique ; présidence ; rédaction ; directrice ; maîtrise ; interprétation ; réalisation
direction.n 111 :: directrice ; directeur ; général ; nouveau ; supérieur ; diriger ; grand ; bon ; actuel ; orientation
direction.n 151 :: management ; directeur ; gestion ; général ; directrice ; contrôle ; équipe ; interne ; responsabilité ; responsable
direction.n 152 :: orientation ; tendance ; déviation ; table ; ligne ; droite ; position ; tête ; courbe ; sens
direction.n 172 :: rejoindre ; destination ; bonjour ; peut-être ; cap ; virage ; forme ; quitte ; vivement ; presque
direction.n 176 :: conduite ; rapport ; vitesse ; performance ; comportement ; régime ; tête ; position ; virage ; sens
direction.n 199 :: montagne ; compagnie ; pôle ; dg ; route ; balance ; vision ; famille ; barre ; chine
direction.n 223 :: conduite ; formation ; gestion ; création ; composition ; préparation ; voie ; construction ; vie ; présidence
direction.n 262 :: responsabilité ; gestion ; stratégie ; directrice ; maîtrise ; conduite ; fonction ; présidence ; charge ; tête
direction.n 279 :: destination ; raison ; venir ; provenance ; province ; sens ; vallée ; partir ; région ; face
don.n 19 :: sens ; cadeau ; secret ; droit ; propre ; pouvoir ; vrai ; véritable ; bon ; talent
don.n 30 :: talent ; élan ; oeil ; pouvoir ; instinct ; atout ; trait ; projet ; côté ; potentiel
don.n 36 :: cadeau ; dom ; saint ; bon ; divin ; merveilleux ; précieux ; sacrer ; joyeux ; magique
don.n 60 :: cadeau ; produit ; travail ; geste ; livre ; sacrifice ; fruit ; signe ; prêt ; vin
don.n 84 :: contribution ; cadeau ; fonds ; legs ; soutien ; achat ; témoignage ; apport ; versement ; produit
don.n 107 :: cadeau ; faire ; geste ; présent ; part ; art ; apport ; offrir ; preuve ; nombre
don.n 130 :: fonds ; enfant ; lecteur ; cadeau ; pauvre ; bon ; frère ; lien ; soutien ; contribution
don.n 196 :: génie ; talent ; sens ; droit ; pouvoir ; traitement ; privilèg ; caractère ; domaine ; lux
don.n 244 :: cadeau ; legs ; mécénat ; testament ; produit ; transfert ; souher ; vin ; travail ; verre
don.n 245 :: témoignage ; reste ; enfant ; cas ; fils ; apport ; acte ; découverte ; trésor ; bijou
entraîner.v 39 :: or ; aide ; art ; image ; air ; ensemble ; international ; éternel ; animal ; heureux
entraîner.v 47 :: obliger ; aide ; aider ; encourager ; engager ; invite ; inciter ; amener ; pousse ; contraindre
entraîner.v 55 :: clip ; international ; italien ; indispensable ; aide ; air ; art ; incessant ; usage ; étymologie
entraîner.v 57 :: enseigner ; avoir ; air ; efficace ; ensemble ; eau ; international ; irremplaçable ; oc ; or
entraîner.v 133 :: ancien ; aide ; air ; animal ; art ; image ; ensemble ; énergie ; clip ; efficace
entraîner.v 140 :: amener ; attirer ; projeter ; mener ; pousser ; emporter ; conduire ; emmener ; conduite ; entrer
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; inviter ; amener ; force ; exhorter ; pousse ; encourager
entraîner.v 161 :: provoquer ; apparaître ; amener ; conduire ; induire ; engendrer ; produire ; causer ; pallier ; expliquer
entraîner.v 162 :: amener ; provoquer ; engendrer ; encourager ; assurer ; produit ; expliquer ; influence ; conduire ; induire
entraîner.v 191 :: emporter ; attirer ; conduire ; amener ; porter ; atteindre ; engager ; emmener ; mener ; absorber
éplucher.v 10 :: peler ; laver ; nettoyer ; égoutter ; presser ; échalote ; faire ; cueillir ; préparer ; finement
éplucher.v 51 :: éplucher ; soigneusement ; récolter ; minutieusement ; travailler ; longuement ; analyser ; examiner ; finement ; systématiquement
éplucher.v 69 :: examiner ; dépouiller ; balayer ; faire ; enterrer ; lire ; refuser ; analyser ; vérifier ; écarter
éplucher.v 100 :: éplucher ; retourner ; couper ; enlever ; finement ; évidemment ; débarrasser ; mûr ; oublier ; délaisser
éplucher.v 119 :: éplucher ; fouillé ; arpenter ; récolter ; lire ; bon ; aller ; croiser ; peser ; regarder
éplucher.v 167 :: laver ; couper ; regarder ; laisser ; conserver ; observer ; enlever ; aimer ; garder ; voir
éplucher.v 174 :: internet ; lire ; page ; faire ; mieux ; dossier ; livre ; mail ; chiffre ; regarder
éplucher.v 235 :: peler ; faire ; cueillir ; trancher ; couper ; enlever ; récolter ; nettoyer ; presser ; percer
éplucher.v 236 :: avoir ; terre ; bon ; er ; également ; récolter ; devoir ; eau ; gros ; falloir
éplucher.v 258 :: faire ; peler ; citron ; cuire ; orange ; asperge ; légume ; vinaigre ; pouvoir ; laver
espace.n 13 :: or ; art ; air ; international ; accueil ; ensemble ; origine ; aide ; étymologie ; usage
espace.n 27 :: air ; eau ; or ; actuel ; art ; étymologie ; aide ; heureux ; international ; obliger
espace.n 79 :: intérieur ; création ; lieu ; grand ; design ; expérience ; priver ; accueillir ; extérieur ; artistique
espace.n 120 :: ajouter ; utiliser ; article ; air ; étroit ; excellent ; heureux ; avoir ; grand ; utilisateur
espace.n 137 :: environnement ; marché ; information ; présent ; politique ; contenu ; développement ; domaine ; investissement ; personnel
espace.n 142 :: air ; international ; afghan ; interne ; éternel ; art ; actuel ; étymologie ; indien ; étroit
espace.n 180 :: temps ; vide ; place ; territoire ; nouveau ; parking ; partage ; dernier ; paysage ; grand
espace.n 208 :: ancien ; innombrable ; euro ; instrument ; ion ; grand ; in ; ensemble ; immense ; excellent
espace.n 229 :: petit ; produit ; service ; environnement ; événement ; propre ; travail ; territoire ; investissement ; réseau
espace.n 243 :: coin ; article ; ensemble ; place ; temps ; emplacement ; intervalle ; domaine ; ligne ; jeu
essuyer.v 11 :: laver ; faire ; ensuite ; essuyer ; avoir ; passer ; soigneusement ; fermer ; abondamment ; couvrir
essuyer.v 58 :: durement ; subir ; également ; personnellement ; malheureusement ; déjà ; récemment ; ici ; ensuite ; vraiment
essuyer.v 77 :: essuie ; presque ; éponge ; bouche ; long ; lèvre ; an ; légèrement ; devenir ; glace
essuyer.v 81 :: essuie ; encre ; éponge ; absorber ; laver ; recevoir ; enduire ; effacer ; parer ; éliminer
essuyer.v 86 :: presque ; recevoir ; tenir ; passer ; faire ; donne ; porte ; assurer ; essuie ; quasi
essuyer.v 89 :: subir ; recevoir ; annoncer ; constater ; opposer ; essuie ; rencontrer ; afficher ; déjà ; refuser
essuyer.v 98 :: faire ; recevoir ; encaisser ; subir ; voir ; prendre ; utiliser ; gagner ; souffrir ; perdre
essuyer.v 166 :: pépin ; laver ; graine ; nettoyer ; frotter ; légume ; sécher ; rincer ; olive ; égoutter
essuyer.v 215 :: recueillir ; accumuler ; recevoir ; enchaîner ; subir ; enregistrer ; renvoyer ; récolter ; cumulé ; déjà
essuyer.v 266 :: enlever ; éviter ; retirer ; laisser ; verser ; balayer ; assurer ; essuie ; faire ; couvrir
faucher.v 12 :: écraser ; assassiner ; dernier ; déjà ; tuer ; jeter ; passer ; magnifique ; presque ; publier
faucher.v 42 :: découverte ; peut-être ; donnée ; mieux ; acquérir ; couvrir ; déjà ; révéler ; inscrire ; ajouter
faucher.v 116 :: abattre ; donner ; déjà ; fumier ; fou ; bêtement ; tuer ; allègrement ; vache ; con
faucher.v 160 :: terre ; grièvement ; jack ; français ; lancer ; côté ; hache ; piqu ; main ; plante
faucher.v 214 :: faire ; voir ; prix ; acheter ; presque ; fort ; vendre ; propre ; moyen ; manque
faucher.v 239 :: volée ; également ; tuer ; grièvement ; déjà ; reprise ; cassé ; chia ; presque ; arrêter
faucher.v 248 :: tombe ; meurtre ; laisse ; autopsie ; cadavre ; voiture ; vie ; comparaison ; extraire ; morsure
faucher.v 276 :: semer ; couper ; planter ; faire ; échanger ; abattre ; mettre ; entretenir ; cueillir ; tailler
faucher.v 282 :: remplacer ; trouver ; falloir ; passer ; revenir ; marque ; récupérer ; éliminer ; laisse ; donne
faucher.v 290 :: grièvement ; tuer ; volontairement ; servir ; presque ; blesser ; porter ; briser ; donner ; involontairement
fonder.v 6 :: fondre ; créer ; organiser ; diriger ; installer ; développer ; tenir ; établir ; bâtir ; ouvrir
fonder.v 7 :: force ; motiver ; conditionne ; sous-tendre ; traverser ; caractériser ; constituer ; porte ; base ; guide
fonder.v 54 :: base ; appuyer ; trouver ; tire ; construire ; bâtir ; gagner ; assurer ; repose ; puiser
fonder.v 66 :: ferme ; rejoindre ; installer ; commencer ; formule ; intégrer ; forme ; fabrique ; développer ; quitte
fonder.v 88 :: rejoindre ; intégrer ; commencer ; quitte ; joindre ; créer ; développer ; anime ; forme ; ouvrir
fonder.v 93 :: ment ; foi ; repose ; pied ; loi ; pourtant ; base ; structure ; solidement ; principe
fonder.v 158 :: base ; repose ; bâtir ; focaliser ; appuyer ; fond ; forge ; fonctionner ; baser ; ferme
fonder.v 212 :: fondation ; ici ; officiellement ; établissement ; fondre ; bientôt ; ensuite ; ensemble ; presque ; établir
fonder.v 264 :: motiver ; base ; constituer ; définir ; solide ; force ; comprendre ; valide ; caractériser ; justifier
fonder.v 286 :: diriger ; compte ; réunir ; fond ; ferme ; développer ; fabrique ; forme ; créer ; forge
grossier.a 24 :: courant ; simple ; évident ; grave ; valable ; flagrant ; stupide ; radical ; exact ; complet
grossier.a 37 :: monter ; langage ; parler ; cruel ; vulgaire ; fin ; procédé ; devenir ; brutal ; vicieux
grossier.a 85 :: agressif ; violent ; vulgaire ; dangereux ; vicieux ; verbal ; brutal ; sexuel ; timide ; pervers
grossier.a 108 :: étranger ; fin ; support ; élément ; fonds ; léger ; objet ; déchet ; métallique ; mal
grossier.a 134 :: léger ; lourd ; gros ; bon ; honteux ; sérieux ; grave ; subtil ; évident ; grotesque
grossier.a 179 :: message ; film ; programme ; rapport ; trafic ; diffusion ; clip ; article ; information ; publicité
grossier.a 227 :: ridicule ; poli ; maladroit ; vulgaire ; excessif ; incorrect ; arrogant ; franc ; agressif ; superficiel
grossier.a 228 :: commentaire ; vulgaire ; raciste ; fin ; propos ; contenir ; fait ; déplacer ; haineux ; répéter
grossier.a 231 :: humain ; vulgaire ; médiocre ; commune ; inférieur ; personnel ; matériel ; égoïste ; superficiel ; extérieur
grossier.a 300 :: faire ; coupable ; vocal ; régulier ; amoureux ; théâtral ; stupide ; personnel ; commune ; sec
hermétique.a 203 :: opaque ; obscur ; théorique ; abstrait ; évident ; scientifique ; compréhensible ; intime ; mystérieux ; familier
hermétique.a 71 :: secret ; énigmatique ; opaque ; discret ; confidentiel ; effrayant ; obscur ; explicite ; original ; mystérieux
hermétique.a 99 :: fermer ; sceller ; plastique ; entier ; individuel ; étanche ; transparent ; congélation ; alimentaire ; vide
hermétique.a 126 :: imperméable ; étanche ; insensible ; réfractaire ; opposer ; allergique ; perméable ; sensible ; dépendre ; attacher
hermétique.a 127 :: presque ; système ; piège ; obscur ; fermeture ; oui ; barrière ; opaque ; hypocrite ; religieux
hermétique.a 220 :: clos ; rester ; presque ; fermer ; quasi ; vide ; étancher ; éternellement ; entrer ; clore
hermétique.a 226 :: fermer ; insensible ; sensible ; étanche ; imperméable ; allergique ; face ; initier ; attacher ; indifférent
hermétique.a 261 :: étanche ; magique ; fermer ; penser ; religieux ; interne ; opaque ; dépasser ; organique ; ajouter
hermétique.a 278 :: alimentaire ; espagnol ; italien ; métallique ; parfaitement ; anglais ; solide ; adhésive ; juif ; secret
hermétique.a 204 :: texte ; voire ; phrase ; clé ; être ; écriture ; presque ; porte ; quasi ; devenir
incorrect.a 45 :: opérationnel ; global ; général ; actif ; utile ; percevoir ; vraiment ; créatif ; motrice ; juger
incorrect.a 125 :: dé ; ante ; naître ; té ; us ; der ; sis ; disponible ; ré ; visiblement
incorrect.a 132 :: revenir ; extrêmement ; orienter ; impossible ; entier ; in ; rester ; obligatoire ; tomber ; incomplet
incorrect.a 156 :: politique ; pénal ; moral ; professionnel ; judiciaire ; administratif ; criminel ; juger ; éthique ; humaine
incorrect.a 159 :: utilisation ; donnée ; produit ; in ; disponible ; caractère ; activité ; qualité ; condition ; résultat
incorrect.a 177 :: public ; déterminer ; précis ; inverse ; aléatoire ; arbitraire ; inférieur ; prédéterminer ; correct ; imposer
incorrect.a 217 :: politiquement ; correct ; ici ; public ; délicat ; élevé ; intéressant ; original ; sujet ; sensible
incorrect.a 241 :: vraiment ; complètement ; parfaitement ; presque ; totalement ; juger ; devenir ; apparemment ; fort ; immédiatement
incorrect.a 298 :: politique ; compte ; ci-dessous ; conclusion ; article ; introduction ; responsabilité ; important ; obligatoire ; enseignement
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; saisir ; donnée ; effacer ; électronique ; transmettre ; erroné ; numérique
intérêt.n 63 :: avis ; opinion ; projet ; dessein ; camp ; élément ; point ; sentiment ; ennemi ; adversaire
intérêt.n 97 :: opinion ; article ; information ; irremplaçable ; international ; approche ; institution ; évolution ; entreprise ; administration
intérêt.n 129 :: air ; externe ; international ; aide ; or ; art ; ensemble ; étroit ; alpha ; image
intérêt.n 146 :: or ; aide ; art ; air ; eau ; image ; évolution ; intérieur ; ensemble ; énergie
intérêt.n 155 :: audiovisuel ; article ; audiovisuelle ; air ; effectif ; origine ; international ; énergie ; information ; appareil
intérêt.n 218 :: avantage ; intéressant ; utilité ; atout ; attrer ; inconvénient ; importance ; bénéfice ; côté ; enseignement
intérêt.n 263 :: alpha ; excellent ; étroit ; éventuel ; lorsqu ; illustre ; adjectif ; air ; effectif ; incessant
intérêt.n 268 :: excellent ; international ; aide ; image ; art ; usage ; étymologie ; air ; étroit ; heureux
intérêt.n 271 :: être ; antique ; étroit ; aide ; actuel ; étymologie ; éventuel ; usage ; indispensable ; habituel
intérêt.n 297 :: aide ; clip ; air ; or ; apparemment ; irréversible ; énergie ; art ; externe ; immigré
interpréter.v 18 :: chanter ; interprétation ; jouer ; cité ; offrir ; reprendre ; arranger ; enregistrer ; aborder ; présenter
interpréter.v 21 :: interprétation ; chanter ; jouer ; arranger ; encourageant ; offrir ; exécuter ; écouter ; montant ; écrire
interpréter.v 59 :: mieux ; faire ; pouvoir ; vouloir ; falloir ; correctement ; ensuite ; manière ; ici ; devoir
interpréter.v 80 :: air ; international ; externe ; aide ; indien ; or ; origine ; image ; animal ; effet
interpréter.v 123 :: international ; externe ; art ; étroit ; illustre ; obliger ; étymologie ; or ; aide ; air
interpréter.v 128 :: joue ; incarner ; interprétation ; ici ; assurer ; offrir ; rôle ; composer ; camper ; écrire
interpréter.v 157 :: traite ; traduire ; recevoir ; accueillir ; écrire ; accepter ; actif ; imaginer ; offrir ; joue
interpréter.v 260 :: interprétation ; comprendre ; faire ; pouvoir ; expliquer ; décoder ; analyser ; traduire ; décrypter ; lire
interpréter.v 267 :: vivre ; comprendre ; recevoir ; expliquer ; interprétation ; attribuer ; lire ; écrire ; entendre ; percevoir
interpréter.v 289 :: chanter ; jouer ; magnifiquement ; ici ; chant ; animé ; admirablement ; dansé ; habituellement ; porter
maintenir.v 94 :: fermement ; soutenir ; assurer ; tenir ; également ; déclarer ; indiquer ; affirmer ; mentionner ; clairement
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; référencer ; identifier ; signaler ; ajouter ; renseigner
maintenir.v 154 :: garder ; conserver ; assurer ; renforcer ; tenir ; soutenir ; observer ; demeurer ; également ; exercer
maintenir.v 175 :: préserver ; garder ; conserver ; maintien ; plonger ; demeurer ; retenir ; mettre ; divertir ; perpétuer
maintenir.v 183 :: garder ; conserver ; préserver ; entretenir ; assurer ; garantir ; rester ; demeurer ; favoriser ; respecter
maintenir.v 207 :: garder ; préserver ; entretenir ; vivre ; demeurer ; conserver ; maintien ; assurer ; promouvoir ; rester
maintenir.v 230 :: tenir ; pouvoir ; dernier ; compter ; devoir ; être ; continuer ; également ; compte ; ci
maintenir.v 234 :: rappeler ; souhaiter ; considérer ; soutenir ; proclamer ; réaffirmer ; vouloir ; reconnaître ; estime ; proposer
maintenir.v 251 :: tenir ; conserve ; réaffirmer ; soutenir ; réitérer ; appuyer ; reprendre ; répéter ; entretenir ; poursuivre
maintenir.v 281 :: tenir ; dire ; bref ; affirmer ; falloir ; bon ; ajouter ; fermement ; croire ; garder
mince.a 17 :: petit ; étroit ; grand ; fin ; réduit ; court ; large ; épais ; faible ; simple
mince.a 96 :: fin ; léger ; épais ; lâche ; lisse ; mou ; régulier ; moyen ; sonore ; maigre
mince.a 147 :: tendre ; léger ; serrer ; fin ; faible ; moyen ; physique ; régulier ; intéressant ; linéaire
mince.a 170 :: document ; livre ; photo ; aveux ; châssis ; joueur ; trésor ; version ; couple ; manuscrit
mince.a 192 :: minuscule ; petit ; micro ; menu ; écran ; fin ; disque ; plaque ; léger ; épais
mince.a 202 :: fin ; épais ; léger ; petit ; nouveau ; dernier ; double ; fort ; bon ; haut
mince.a 213 :: maigre ; léger ; petit ; fragile ; solide ; minuscule ; parallèle ; faible ; moyen ; minime
mince.a 225 :: également ; filet ; joli ; déjà ; fin ; tif ; presque ; rapport ; petit ; plan
mince.a 242 :: fin ; sensible ; perméable ; fort ; faible ; serrer ; fragile ; tendre ; bon ; étroit
mince.a 292 :: fin ; léger ; plastique ; conducteur ; supérieur ; tendre ; rigide ; double ; flexible ; épais
modeste.a 29 :: minuscule ; petit ; grand ; vaste ; minable ; second ; commun ; simple ; misérable ; coin
modeste.a 114 :: pauvre ; bon ; humble ; petit ; honnête ; simple ; fidèle ; propre ; honorable ; excellent
modeste.a 121 :: faible ; important ; minime ; mesurer ; significatif ; marginal ; petit ; substantiel ; minuscule ; discret
modeste.a 163 :: minime ; limité ; faible ; léger ; personnel ; spectaculaire ; petit ; propre ; mesurer ; significatif
modeste.a 195 :: personnel ; symbolique ; familial ; important ; économique ; faible ; élevé ; lier ; complémentaire ; réduire
modeste.a 197 :: pauvre ; aisé ; français ; public ; familial ; important ; économique ; hospitalier ; parisien ; local
modeste.a 200 :: limité ; prudent ; élevé ; équilibré ; restreindre ; utile ; populaire ; important ; fort ; total
modeste.a 246 :: élevé ; léger ; important ; petit ; faible ; marchand ; ministériel ; minime ; raisonnable ; inférieur
modeste.a 269 :: petit ; humble ; pauvre ; jeune ; paysan ; bon ; russe ; soviétique ; misérable ; pourtant
modeste.a 283 :: humble ; pauvre ; digne ; timide ; modestie ; léger ; simple ; petit ; noble ; poli
montée.n 15 :: courbe ; progression ; droite ; côte ; poussée ; hausse ; baisse ; dérive ; chute ; victoire
montée.n 56 :: partie ; dégradation ; augmentation ; question ; chute ; réduction ; baisse ; poussée ; transformation ; société
montée.n 75 :: descente ; suite ; journée ; monte ; balade ; visite ; promenade ; dernier ; ascension ; entrée
montée.n 138 :: tendance ; hausse ; évolution ; poussée ; courbe ; performance ; baisse ; progression ; croissance ; chute
montée.n 141 :: chute ; hausse ; baisse ; réduction ; descente ; progression ; transformation ; courbe ; dégradation ; croissance
