affection.n 8 :: occasion ; maladie ; dernier ; disposition ; considération ; affectation ; époque ; extrémité ; institution ; épreuve
entraîner.v 133 :: air ; aide ; interne ; image ; animal ; art ; ensemble ; ancien ; eau ; ion
entraîner.v 140 :: amener ; envoyer ; mener ; engager ; emporter ; conduire ; pousser ; attirer ; aller ; emmener
entraîner.v 144 :: invite ; amener ; obliger ; engager ; encourager ; avoir ; conduire ; pousse ; inciter ; apprendre
entraîner.v 161 :: provoquer ; apparaître ; amener ; engendrer ; éviter ; conduire ; expliquer ; créer ; produire ; induire
entraîner.v 162 :: amener ; engendrer ; provoquer ; encourager ; assurer ; actif ; déclenche ; influence ; impliquer ; favoriser
entraîner.v 191 :: emporter ; amener ; attirer ; conduire ; engager ; atteindre ; abandonner ; pousser ; écarter ; précipiter
éplucher.v 10 :: peler ; préparer ; nettoyer ; acheter ; égoutter ; cueillir ; presser ; enfiler ; ouvrir ; aspirer
éplucher.v 51 :: éplucher ; analyser ; fouillé ; étudier ; attentivement ; imprimer ; scrupuleusement ; dépouiller ; parcourir ; compiler
éplucher.v 69 :: examiner ; étudier ; analyser ; dépouiller ; lire ; vérifier ; scanner ; fouiller ; balayer ; dévorer
éplucher.v 100 :: éplucher ; retourner ; écraser ; récolter ; peser ; oignon ; arracher ; laver ; trancher ; écarter
éplucher.v 119 :: éplucher ; parcourir ; regarder ; fouillé ; étudier ; explorer ; balayer ; scrupuleusement ; analyser ; lire
éplucher.v 167 :: laver ; oublier ; observer ; enlever ; couper ; conserver ; noter ; regarder ; découper ; retourner
éplucher.v 174 :: consulter ; analyser ; lire ; regarder ; voir ; fouiller ; retrouver ; découvrir ; examiner ; parcourir
éplucher.v 235 :: peler ; faire ; passer ; presser ; acheter ; arracher ; obtenir ; récolter ; entamer ; affiner
éplucher.v 236 :: éplucher ; récolter ; collecter ; balayer ; scrupuleusement ; fouillé ; entendre ; regarder ; aller ; noter
éplucher.v 258 :: peler ; blanchir ; égoutter ; faire ; fruit ; légume ; fraise ; écraser ; préparer ; récolter
espace.n 13 :: ensemble ; or ; art ; air ; établissement ; exploitation ; euro ; emploi ; offrir ; origine
espace.n 27 :: air ; or ; énergie ; art ; eau ; éternel ; apparemment ; image ; irréversible ; actuel
espace.n 79 :: ensemble ; office ; emplacement ; environnement ; outil ; zone ; service ; aire ; option ; élément
espace.n 120 :: air ; étroit ; ajouter ; petit ; utiliser ; article ; excellent ; aide ; apercevoir ; heureux
espace.n 137 :: environnement ; marché ; investissement ; instrument ; domaine ; entreprise ; avenir ; droit ; article ; avantage
espace.n 142 :: air ; afghan ; international ; interne ; éternel ; actuel ; américain ; indien ; irréversible ; art
espace.n 180 :: place ; lien ; emplacement ; équilibre ; arrangement ; intervalle ; distance ; déplacement ; passage ; zone
espace.n 208 :: innombrable ; entreprise ; ensemble ; article ; exploitation ; utilisateur ; information ; euro ; ancien ; enregistrement
espace.n 229 :: propre ; événement ; investissement ; produit ; projet ; service ; environnement ; contenir ; développement ; équipement
espace.n 243 :: article ; place ; coin ; intervalle ; vide ; emplacement ; écran ; temps ; trou ; lien
essuyer.v 11 :: essuyer ; laver ; faire ; ensuite ; rincer ; essuie ; avoir ; abondamment ; enlever ; protéger
essuyer.v 58 :: subir ; rencontrer ; constater ; recevoir ; essuie ; souffrir ; connaître ; enregistrer ; accumuler ; affronter
essuyer.v 77 :: essuie ; encre ; éponge ; effacer ; sourire ; écarter ; égal ; brûle ; larme ; enduire
essuyer.v 81 :: essuie ; éponge ; encre ; effacer ; laver ; lav ; enduire ; nettoie ; douche ; avoir
essuyer.v 86 :: recevoir ; essuie ; assurer ; encaisse ; continuer ; passer ; assumer ; recueillir ; poursuivre ; assister
essuyer.v 89 :: subir ; recevoir ; opposer ; constater ; annoncer ; rencontrer ; accuser ; obtenir ; essuie ; frapper
essuyer.v 98 :: encaisser ; recevoir ; subir ; faire ; souffrir ; voir ; prendre ; gagner ; rencontrer ; utiliser
essuyer.v 166 :: sécher ; éplucher ; noyau ; pépin ; égoutter ; légume ; peau ; peler ; baie ; graine
essuyer.v 215 :: subir ; recevoir ; recueillir ; accumuler ; obtenir ; affronter ; récolter ; enregistrer ; connaître ; provoquer
essuyer.v 266 :: essuie ; enlever ; nettoyer ; balayer ; soigneusement ; assurer ; retirer ; ensuite ; abondamment ; retourner
faucher.v 12 :: tuer ; jeter ; briser ; presque ; écraser ; bientôt ; projeter ; déposer ; abattre ; poussée
faucher.v 42 :: mieux ; déjà ; presque ; également ; couvrir ; récolter ; devenir ; peut-être ; découverte ; davantage
faucher.v 116 :: semer ; abattre ; dévaster ; arroser ; voler ; détruire ; pousser ; ravager ; travailler ; assassiner
faucher.v 160 :: séparer ; capture ; tombe ; amoureux ; malheureux ; tuer ; coûter ; orphelin ; divorce ; être
faucher.v 214 :: presque ; faire ; acheter ; abattre ; tirer ; mieux ; couper ; donner ; arracher ; assassiner
faucher.v 239 :: acheter ; presque ; entamer ; cassé ; jeter ; renverser ; servir ; déjà ; briser ; planter
faucher.v 248 :: blesse ; abattre ; taire ; brise ; presque ; frappe ; renverse ; marque ; peut-être ; tombe
faucher.v 276 :: abattre ; couper ; semer ; planter ; pousser ; tailler ; piquer ; creuser ; greffer ; récolter
faucher.v 282 :: marque ; centre ; piqu ; remplacer ; cadre ; passeur ; cale ; compenser ; casser ; prolonger
faucher.v 290 :: grièvement ; tuer ; gravement ; blesser ; verser ; plaqué ; presque ; briser ; déjà ; bêtement
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; développer ; ouvrir ; faire ; tenir ; lancer
fonder.v 7 :: motiver ; force ; sous-tendre ; porte ; traverser ; conditionne ; guide ; légitime ; appuyer ; justifier
fonder.v 54 :: base ; appuyer ; construire ; trouver ; bâtir ; tire ; gagner ; ancre ; assurer ; force
fonder.v 66 :: diriger ; ferme ; commencer ; créer ; développer ; installer ; rejoindre ; monte ; forme ; finance
fonder.v 88 :: intégrer ; rejoindre ; créer ; forme ; développer ; finance ; diriger ; formule ; anime ; quitte
fonder.v 93 :: traverser ; forme ; force ; conditionne ; définir ; caractériser ; base ; constituer ; appuyer ; marque
fonder.v 158 :: base ; repose ; bâtir ; appuyer ; focaliser ; fonctionner ; fond ; forge ; baser ; fixe
fonder.v 212 :: créer ; former ; constituer ; faire ; fabriquer ; contracter ; monter ; fondre ; forger ; bâtir
fonder.v 264 :: motiver ; définir ; base ; force ; traverser ; valide ; forme ; bâtir ; appuyer ; vraiment
fonder.v 286 :: développer ; fabrique ; diriger ; compte ; créer ; forme ; forge ; fond ; ferme ; monte
grossier.a 24 :: stupide ; flagrant ; grave ; valable ; formel ; évident ; rigoureux ; complet ; courant ; grotesque
grossier.a 37 :: avancer ; complet ; sophistiquer ; répandre ; efficace ; subtil ; vicieux ; élevé ; facile ; exact
grossier.a 85 :: violent ; agressif ; brutal ; vicieux ; vulgaire ; arrogant ; susceptible ; dangereux ; méchant ; tendre
grossier.a 108 :: fin ; épais ; profond ; minéral ; primitif ; organique ; léger ; calcaire ; pauvre ; général
grossier.a 134 :: léger ; subtil ; évident ; flagrant ; grave ; sérieux ; vague ; gros ; maladroit ; simpliste
grossier.a 179 :: gros ; grand ; profond ; bon ; énième ; énorme ; vrai ; grave ; flagrant ; sérieux
grossier.a 227 :: ridicule ; vulgaire ; agressif ; blessant ; poli ; incorrect ; arrogant ; confus ; maladroit ; franc
grossier.a 228 :: témoignage ; accusation ; policier ; billet ; fait ; déplacer ; mensonge ; procédé ; commentaire ; sens
grossier.a 231 :: vulgaire ; matériel ; humain ; coupable ; inférieur ; simple ; profane ; superficiel ; primitif ; brut
grossier.a 300 :: stupide ; vulgaire ; faire ; habituel ; commune ; coupable ; féroce ; agressif ; manifeste ; meurtrier
hermétique.a 203 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; étancher ; évident ; compréhensible ; exclusif
hermétique.a 71 :: étanche ; opaque ; secret ; obscur ; énigmatique ; mystérieux ; effrayant ; fermer ; confidentiel ; explicite
hermétique.a 99 :: fermer ; plastique ; sceller ; étanche ; contenir ; transparent ; individuel ; entier ; chinois ; alimentaire
hermétique.a 126 :: étanche ; insensible ; imperméable ; allergique ; réfractaire ; sourd ; fermer ; attacher ; opposer ; dépendre
hermétique.a 127 :: élitiste ; étanche ; secret ; obscur ; religieux ; opaque ; académique ; fermé ; officiel ; magique
hermétique.a 220 :: opaque ; étancher ; fermer ; obscur ; extrêmement ; froid ; parfaitement ; anonyme ; hypocrite ; clos
hermétique.a 226 :: insensible ; étanche ; attacher ; imperméable ; fermer ; sourd ; indifférent ; sensible ; attentif ; associer
hermétique.a 261 :: étanche ; magique ; opaque ; éloquer ; incompréhensible ; confidentiel ; fermer ; explicite ; mystérieux ; étancher
hermétique.a 278 :: chimique ; étanche ; plastique ; interne ; fermé ; solide ; secret ; noir ; entièrement ; alimentaire
hermétique.a 204 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; étancher ; évident ; compréhensible ; exclusif
incorrect.a 45 :: actif ; opérationnel ; mal ; pratique ; global ; juridique ; utile ; général ; juger ; créatif
incorrect.a 125 :: vraiment ; in ; complètement ; totalement ; parfaitement ; con ; super ; mal ; hier ; incapable
incorrect.a 132 :: revenir ; impossible ; rester ; extrêmement ; tomber ; orienter ; incomplet ; totalement ; entier ; devenir
incorrect.a 156 :: in ; politique ; juridique ; mal ; judiciaire ; exemplaire ; pénal ; professionnel ; apparemment ; inique
incorrect.a 159 :: in ; juridique ; politique ; ex ; pratique ; professionnel ; mal ; interdire ; obligatoire ; incomplet
incorrect.a 177 :: erroné ; correct ; précis ; inverse ; prédéterminer ; total ; supérieur ; aléatoire ; donner ; arbitraire
incorrect.a 217 :: correct ; ici ; politiquement ; stupide ; public ; approprié ; inapproprié ; sujet ; erroné ; ridicule
incorrect.a 241 :: vraiment ; complètement ; mal ; totalement ; presque ; parfaitement ; fort ; in ; extrêmement ; déjà
incorrect.a 298 :: maladroit ; vrai ; ridicule ; décevant ; injuste ; correct ; évident ; malheureux ; exact ; déçu
incorrect.a 299 :: personnel ; confidentiel ; saisir ; électronique ; donnée ; financier ; opérationnel ; transmettre ; bancaire ; erroné
intérêt.n 63 :: avis ; élément ; objectif ; appétit ; opinion ; sentiment ; point ; agenda ; adversaire ; avantage
intérêt.n 97 :: article ; évolution ; étroit ; international ; aide ; heureux ; opinion ; origine ; irremplaçable ; information
intérêt.n 129 :: air ; aide ; art ; image ; étroit ; externe ; heureux ; international ; interne ; énergie
intérêt.n 146 :: air ; or ; aide ; image ; art ; emploi ; évolution ; ensemble ; énergie ; international
intérêt.n 155 :: article ; utilisateur ; appareil ; effectif ; outil ; étroit ; équipe ; audit ; évaluation ; information
intérêt.n 218 :: avantage ; intéressant ; utilité ; atout ; importance ; inconvénient ; attrer ; enseignement ; côté ; élément
intérêt.n 263 :: meilleur ; propre ; air ; nouveau ; guide ; principal ; cor ; excellent ; matériel ; éventuel
intérêt.n 268 :: air ; international ; art ; aide ; image ; or ; nouveau ; actuel ; clip ; heureux
intérêt.n 271 :: aide ; étroit ; être ; international ; image ; art ; air ; énergie ; or ; excellent
intérêt.n 297 :: aide ; air ; clip ; externe ; animal ; art ; image ; enseigner ; or ; double
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; enregistrer ; arranger ; offrir ; aborder ; présenter ; inspirer
interpréter.v 21 :: enregistrer ; écrire ; adapter ; interprétation ; arranger ; illustrer ; chanter ; écouter ; inscrire ; imaginer
interpréter.v 59 :: expliquer ; comprendre ; entendre ; penser ; analyser ; envisager ; inverser ; voir ; exprimer ; lire
interpréter.v 80 :: air ; art ; or ; apparemment ; aide ; image ; obliger ; international ; aimer ; interne
interpréter.v 123 :: or ; art ; international ; heureux ; étymologie ; air ; étroit ; expérience ; aide ; image
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; double ; camper ; écrire ; assurer ; in ; offrir
interpréter.v 157 :: recevoir ; écrire ; analyse ; accueillir ; envoyer ; émettre ; traduire ; traite ; encaisse ; actif
interpréter.v 260 :: interprétation ; comprendre ; analyser ; évaluer ; apprécier ; décoder ; exploiter ; expliquer ; entendre ; comparer
interpréter.v 267 :: interprétation ; comprendre ; attribuer ; observer ; entendre ; percevoir ; vivre ; envisager ; définir ; écrire
interpréter.v 289 :: imaginer ; jouer ; incarner ; animé ; dansé ; chanter ; enseigner ; interprétation ; présenter ; arranger
maintenir.v 94 :: soutenir ; écrire ; souligner ; répéter ; affirmer ; ajouter ; déclarer ; apprendre ; préciser ; entendre
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; référencer ; tenir ; identifier ; renseigner
maintenir.v 154 :: garder ; conserver ; renforcer ; continuer ; poursuivre ; exercer ; retenir ; demeurer ; mettre ; confirmer
maintenir.v 175 :: préserver ; garder ; conserver ; retenir ; demeurer ; maintien ; mettre ; divertir ; conforter ; couler
maintenir.v 183 :: garder ; préserver ; conserver ; garantir ; favoriser ; assurer ; rester ; entretenir ; mettre ; créer
maintenir.v 207 :: demeurer ; garder ; maintien ; préserver ; conserver ; soutenir ; retenir ; rester ; réintégrer ; divertir
maintenir.v 230 :: tenir ; reston ; être ; devoir ; double ; pouvoir ; garder ; vouloir ; compter ; dernier
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; réaffirmer ; rappeler ; proposer ; estime ; prévoir ; reconnaître
maintenir.v 251 :: conserve ; tenir ; réaffirmer ; soutenir ; réitérer ; reprendre ; confirmer ; poursuivre ; répéter ; défendre
maintenir.v 281 :: confirmer ; affirmer ; soutien ; dire ; croire ; déclarer ; juge ; maintien ; préciser ; voir
mince.a 17 :: épais ; fin ; intime ; faible ; fort ; étroit ; haut ; vulnérable ; réduit ; léger
mince.a 96 :: fin ; épais ; régulier ; léger ; fixe ; lisse ; sec ; continuer ; grossier ; chimique
mince.a 147 :: léger ; maigre ; sommaire ; faible ; simple ; original ; riche ; préciser ; limité ; tendre
mince.a 170 :: serrer ; étroit ; fragile ; léger ; maigre ; faible ; fort ; bon ; épais ; briser
mince.a 192 :: petit ; épais ; minuscule ; fin ; léger ; simple ; menu ; large ; énorme ; solide
mince.a 202 :: fin ; léger ; petit ; épais ; nouveau ; double ; simple ; dernier ; fort ; faible
mince.a 213 :: maigre ; faible ; petit ; minime ; léger ; riche ; vert ; réduire ; fragile ; infime
mince.a 225 :: maigre ; brillant ; lux ; dramatique ; cadeau ; fort ; sport ; grave ; signe ; résultat
mince.a 242 :: fin ; fort ; préciser ; faible ; étroit ; clair ; intime ; fragile ; sec ; bel
mince.a 292 :: fin ; épais ; supérieur ; conducteur ; léger ; métallique ; invisible ; physique ; isolant ; continuer
modeste.a 29 :: minuscule ; petit ; minable ; misérable ; humble ; grand ; minime ; modique ; simple ; paisible
modeste.a 114 :: humble ; petit ; pauvre ; bon ; honnête ; poli ; discret ; timide ; misérable ; faible
modeste.a 121 :: faible ; significatif ; important ; minime ; petit ; modique ; mesurer ; limité ; minuscule ; modérer
modeste.a 163 :: minime ; limité ; léger ; petit ; faible ; spectaculaire ; récent ; personnel ; important ; propre
modeste.a 195 :: limité ; faible ; minime ; misérable ; considérable ; médiocre ; important ; maigre ; élevé ; restreindre
modeste.a 197 :: pauvre ; faible ; aisé ; fragile ; concerner ; économique ; petit ; important ; défavorisé ; récent
modeste.a 200 :: limité ; réduire ; faible ; restreindre ; mesurer ; léger ; petit ; modérer ; comprendre ; élevé
modeste.a 246 :: élevé ; important ; faible ; léger ; petit ; marchand ; négligeable ; considérable ; moindre ; économique
modeste.a 269 :: humble ; petit ; digne ; jeune ; pauvre ; misérable ; médiocre ; pieux ; bon ; honnête
modeste.a 283 :: humble ; digne ; discret ; simple ; fragile ; populaire ; honnête ; modestie ; mature ; pauvre
montée.n 15 :: courbe ; victoire ; poussée ; côte ; conversion ; dérive ; droite ; hausse ; réduction ; mue
